month,year,domestic not seasonally adjusted ,domestic combined seasonal trading day factor,domestic seasonally adjusted thousands,domestic seasonally adjusted at annual rates millions,,foreign not seasonally adjusted ,foreign combined seasonal trading day factor,foreign seasonally adjusted thousands,foreign seasonally adjusted at annual rates millions,,,,,,
February,2014,411.4,95.21,432.1,5.185,,152.5,86.46,176.4,2.117,,,,,,
March,2014,533.8,116.80,457.0,5.484,,207.0,114.71,180.5,2.166,,,,,,
April,2014,470.8,105.66,445.6,5.347,,186.5,103.36,180.5,2.166,,,,,,
May,2014,563.6,120.56,467.5,5.609,,210.2,113.70,184.8,2.218,,,,,,
June,2014,498.9,104.44,477.7,5.733,,185.3,100.95,183.6,2.203,,,,,,
July,2014,479.3,101.70,471.3,5.656,,191.1,109.21,175.0,2.100,,,,,,
August,2014,551.7,110.64,498.6,5.983,,195.5,112.39,174.0,2.088,,,,,,
September,2014,412.0,88.94,463.2,5.559,,151.0,90.65,166.6,1.999,,,,,,
October,2014,427.4,89.06,479.9,5.758,,150.0,91.51,163.9,1.967,,,,,,
November,2014,426.3,86.89,490.6,5.888,,150.4,91.41,164.5,1.975,,,,,,
December,2014,473.1,98.45,480.6,5.767,,182.8,105.35,173.6,2.083,,,,,,
,,,,,,,,,,,,,,,,
January,2015,386.8,83.86,461.3,5.535,,128.6,80.32,160.2,1.922,,,,,,
February,2015,420.1,95.29,440.9,5.290,,137.5,86.94,158.2,1.898,,,,,,
March,2015,522.4,113.33,460.9,5.531,,191.0,112.16,170.3,2.043,,,,,,
April,2015,480.9,106.60,451.1,5.413,,167.7,104.49,160.5,1.926,,,,,,
May,2015,562.9,115.98,485.3,5.824,,183.0,109.87,166.6,1.999,,,,,,
June,2015,491.6,107.61,456.8,5.482,,168.3,104.01,161.8,1.942,,,,,,
July,2015,488.1,100.84,484.0,5.808,,164.8,109.03,151.2,1.814,,,,,,
August,2015,498.7,106.51,468.3,5.619,,172.1,107.49,160.1,1.921,,,,,,
September,2015,448.7,93.33,480.8,5.769,,150.5,95.57,157.5,1.890,,,,,,
October,2015,451.5,92.49,488.2,5.859,,149.7,94.38,158.6,1.903,,,,,,
November,2015,386.9,82.72,467.7,5.613,,140.3,87.39,160.5,1.926,,,,,,
December,2015,472.8,104.42,452.8,5.434,,160.0,112.24,142.6,1.711,,,,,,
,,,,,,,,,,,,,,,,
January,2016,361.3,79.36,455.3,5.464,,110.3,75.96,145.2,1.742,,,,,,
February,2016,430.2,95.02,452.7,5.433,,126.2,86.98,145.1,1.741,,,,,,
March,2016,505.1,119.56,422.5,5.069,,163.6,118.68,137.8,1.654,,,,,,
April,2016,450.1,107.58,418.4,5.021,,160.6,105.67,152.0,1.824,,,,,,
May,2016,470.1,110.50,425.5,5.106,,157.7,104.54,150.8,1.810,,,,,,
June,2016,,111.49,,,,,107.75,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
